 , C00, C05, C17, C26, C31, C32, C34, C36, C37, C39, C41
Time(s)/Cell Status, undecided, undecided, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0.007403791,0.03030798,0,0.05953985,0,0,0,0,0,0.02797359
0.2,0,0.007083654,0.02904198,0.06981939,0.05709785,0,0.07181604,0,0.01618356,0,0.02683759
0.3,0,0.06162351,0.02782887,0.06695539,0.08099315,0,0.0689129,0,0.0155201,0,0.02574766
0.4,0,0.05895872,0.02666646,0.1583845,0.07767123,0,0.06612711,0,0.01488382,0,0.02470201
0.5,0.0591241,0.07313266,0.0255526,0.1518876,0.07448548,0,0.06345394,0.04090786,0.09132123,0,0.04643017
0.6,0.079817,0.06997013,0.08640969,0.2266196,0.1490079,0,0.06088883,0.03922586,0.08757719,0,0.04454461
0.7,0.07632671,0.06694441,0.0828003,0.2173237,0.1428963,0,0.05842743,0.03913699,0.08398664,0,0.04273561
0.8,0.07298905,0.06404951,0.07934168,0.2402252,0.1508429,0,0.05606551,0.0375278,0.094845,0,0.1357936
0.9,0.06979734,0.125887,0.1400501,0.2303712,0.1533496,0,0.05379908,0.07618091,0.1210338,0,0.1302789
1,0.06674518,0.1204432,0.1958663,0.2306741,0.2066377,0,0.05162427,0.07304857,0.1834312,0,0.1249882
1.1,0.06382652,0.1152348,0.1876848,0.2212119,0.1981624,0,0.04953737,0.07004502,0.1861281,0,0.1643758
1.2,0.06103546,0.1102517,0.1798451,0.2121379,0.2102554,0,0.04753484,0.07761477,0.2109137,0,0.1577004
1.3,0.05836646,0.1500197,0.1723329,0.2875087,0.2027134,0,0.09647079,0.07442349,0.2369427,0,0.151296
1.4,0.05581417,0.1435323,0.1651344,0.2757151,0.194399,0,0.09257099,0.07136342,0.2686169,0,0.1627464
1.5,0.07997297,0.1373255,0.1582366,0.3337625,0.2109451,0,0.08882883,0.06842916,0.3690926,0,0.1770722
1.6,0.07647587,0.1313871,0.1516269,0.3200716,0.2788383,0,0.08523795,0.06561556,0.3539603,0,0.1698812
1.7,0.1005988,0.1409827,0.1452933,0.3069424,0.3180704,0,0.08179223,0.06291765,0.3394486,0,0.1629822
1.8,0.09619977,0.1348861,0.1739452,0.2943517,0.3050247,0,0.0784858,0.06033066,0.3255317,0,0.1563633
1.9,0.09199308,0.1290532,0.1666794,0.3136529,0.3077209,0,0.07531303,0.05785004,0.3711143,0,0.1500133
2,0.08797035,0.165317,0.2263352,0.3007869,0.3527812,0,0.07226853,0.05547142,0.3558992,0,0.1439212
2.1,0.08412352,0.1888556,0.2292026,0.3155969,0.3479521,0,0.0693471,0.0531906,0.4336714,0,0.2225345
2.2,0.08044491,0.1806888,0.2440985,0.3218629,0.3414387,0,0.1050167,0.05100356,0.4158916,0,0.2134972
2.3,0.07692716,0.1786904,0.2339024,0.3086601,0.3274345,0,0.1007714,0.04890645,0.555611,0,0.2059637
2.4,0.07356324,0.1709632,0.2241321,0.2959989,0.3140046,0,0.09669775,0.04689556,0.5328318,0,0.1975994
2.5,0.08833634,0.1635702,0.2732905,0.2906064,0.3763553,0,0.09278877,0.04496735,0.5109866,0,0.245505
2.6,0.08447351,0.1564969,0.2618749,0.3381955,0.37456,0,0.08903781,0.04311843,0.5876814,0,0.3269563
2.7,0.0807796,0.1497294,0.2509362,0.3937162,0.3591973,0,0.08543848,0.04134553,0.6404406,0,0.3136784
2.8,0.07724722,0.1996631,0.2873988,0.377566,0.3444647,0,0.08198466,0.03964552,0.7802018,0,0.3009397
2.9,0.0738693,0.191029,0.275394,0.3620783,0.3865908,0,0.07867046,0.03801542,0.9074115,0,0.2894002
3,0.0706391,0.2095581,0.2638906,0.347226,0.3707347,0,0.100215,0.05008844,0.8962013,0,0.2776475
3.1,0.09697924,0.2004961,0.3139213,0.3329828,0.3555289,0,0.09616382,0.04802895,0.9592885,0,0.266372
3.2,0.09273847,0.233815,0.3274945,0.3981196,0.379198,0,0.1154426,0.04605415,1.003894,0,0.2681743
3.3,0.08868314,0.223704,0.3138148,0.3955777,0.4646013,0,0.1107759,0.04710931,1.054686,0,0.2572836
3.4,0.08480515,0.2140303,0.312869,0.3793512,0.4455455,0,0.1062978,0.04517231,1.198593,0,0.278576
3.5,0.08109674,0.2047749,0.2998002,0.3637903,0.4272713,0,0.1020008,0.04331496,1.149453,0,0.3234558
3.6,0.08508471,0.2068947,0.2872774,0.3488677,0.4097466,0,0.09787742,0.04153398,1.265739,0,0.3317976
3.7,0.08136407,0.2357123,0.2856548,0.421575,0.4354912,0,0.1125672,0.03982623,1.242847,0,0.3183231
3.8,0.07780612,0.2255193,0.3202278,0.404282,0.4176294,0,0.1080167,0.03818869,1.270448,0,0.3344015
3.9,0.07440377,0.215767,0.3436517,0.3876985,0.4021147,0,0.1036995,0.03661849,1.250457,0,0.3208212
4,0.07115019,0.2064365,0.3292971,0.3717952,0.5126839,0,0.12651,0.1512815,1.409333,0,0.3077924
4.1,0.0680389,0.2257053,0.315542,0.3598572,0.5320745,0,0.1213959,0.1450613,1.404824,0,0.2952928
4.2,0.06506364,0.215945,0.3023616,0.3450959,0.5102513,0,0.1164885,0.1390968,1.450293,0,0.2833007
4.3,0.0622185,0.2289706,0.2924402,0.3900294,0.4893231,0,0.1117794,0.1333776,1.390833,0,0.3294912
